Mouse_ID,Group,Sex,Day,Licks,Phase,Day_of_Phase
19,ChR2,F,R1_1,601,R1,1
20,ChR2,M,R1_1,14,R1,1
21,ChR2,M,R1_1,176,R1,1
22,Control,F,R1_1,8,R1,1
1,Control,F,R1_2,301,R1,2
2,Control,F,R1_2,268,R1,2
3,Control,F,R1_2,311,R1,2
4,Control,M,R1_2,357,R1,2
5,ChR2,F,R1_2,659,R1,2
6,ChR2,F,R1_2,951,R1,2
7,ChR2,M,R1_2,558,R1,2
8,ChR2,M,R1_2,44,R1,2
9,ChR2,M,R1_2,212,R1,2
10,ChR2,M,R1_2,559,R1,2
11,ChR2,M,R1_2,526,R1,2
12,Control,M,R1_2,262,R1,2
13,Control,M,R1_2,298,R1,2
14,Control,M,R1_2,386,R1,2
15,Control,F,R1_2,101,R1,2
16,ChR2,M,R1_2,558,R1,2
17,ChR2,F,R1_2,656,R1,2
18,ChR2,F,R1_2,909,R1,2
19,ChR2,F,R1_2,565,R1,2
20,ChR2,M,R1_2,60,R1,2
21,ChR2,M,R1_2,611,R1,2
22,Control,F,R1_2,70,R1,2
1,Control,F,R1_3,351,R1,3
2,Control,F,R1_3,462,R1,3
3,Control,F,R1_3,669,R1,3
4,Control,M,R1_3,386,R1,3
5,ChR2,F,R1_3,737,R1,3
6,ChR2,F,R1_3,901,R1,3
7,ChR2,M,R1_3,803,R1,3
8,ChR2,M,R1_3,86,R1,3
9,ChR2,M,R1_3,417,R1,3
10,ChR2,M,R1_3,840,R1,3
11,ChR2,M,R1_3,841,R1,3
12,Control,M,R1_3,344,R1,3
13,Control,M,R1_3,422,R1,3
14,Control,M,R1_3,581,R1,3
15,Control,F,R1_3,356,R1,3
16,ChR2,M,R1_3,977,R1,3
17,ChR2,F,R1_3,845,R1,3
18,ChR2,F,R1_3,1049,R1,3
19,ChR2,F,R1_3,450,R1,3
20,ChR2,M,R1_3,118,R1,3
21,ChR2,M,R1_3,680,R1,3
22,Control,F,R1_3,18,R1,3
1,Control,F,R1_4,441,R1,4
2,Control,F,R1_4,569,R1,4
3,Control,F,R1_4,666,R1,4
4,Control,M,R1_4,585,R1,4
5,ChR2,F,R1_4,606,R1,4
6,ChR2,F,R1_4,851,R1,4
7,ChR2,M,R1_4,694,R1,4
8,ChR2,M,R1_4,284,R1,4
9,ChR2,M,R1_4,443,R1,4
10,ChR2,M,R1_4,890,R1,4
11,ChR2,M,R1_4,838,R1,4
12,Control,M,R1_4,388,R1,4
13,Control,M,R1_4,596,R1,4
14,Control,M,R1_4,832,R1,4
15,Control,F,R1_4,457,R1,4
16,ChR2,M,R1_4,956,R1,4
17,ChR2,F,R1_4,699,R1,4
18,ChR2,F,R1_4,994,R1,4
19,ChR2,F,R1_4,684,R1,4
20,ChR2,M,R1_4,149,R1,4
21,ChR2,M,R1_4,552,R1,4
22,Control,F,R1_4,175,R1,4
1,Control,F,R2_1,675,R2,1
2,Control,F,R2_1,988,R2,1
3,Control,F,R2_1,516,R2,1
4,Control,M,R2_1,565,R2,1
5,ChR2,F,R2_1,713,R2,1
6,ChR2,F,R2_1,807,R2,1
7,ChR2,M,R2_1,855,R2,1
8,ChR2,M,R2_1,212,R2,1
9,ChR2,M,R2_1,486,R2,1
10,ChR2,M,R2_1,724,R2,1
11,ChR2,M,R2_1,691,R2,1
12,Control,M,R2_1,435,R2,1
13,Control,M,R2_1,447,R2,1
14,Control,M,R2_1,586,R2,1
15,Control,F,R2_1,412,R2,1
16,ChR2,M,R2_1,974,R2,1
17,ChR2,F,R2_1,494,R2,1
18,ChR2,F,R2_1,675,R2,1
19,ChR2,F,R2_1,1675,R2,1
20,ChR2,M,R2_1,133,R2,1
21,ChR2,M,R2_1,652,R2,1
22,Control,F,R2_1,232,R2,1
1,Control,F,R2_2,554,R2,2
2,Control,F,R2_2,728,R2,2
3,Control,F,R2_2,579,R2,2
4,Control,M,R2_2,550,R2,2
5,ChR2,F,R2_2,682,R2,2
6,ChR2,F,R2_2,858,R2,2
7,ChR2,M,R2_2,797,R2,2
8,ChR2,M,R2_2,133,R2,2
9,ChR2,M,R2_2,444,R2,2
10,ChR2,M,R2_2,793,R2,2
11,ChR2,M,R2_2,657,R2,2
12,Control,M,R2_2,551,R2,2
13,Control,M,R2_2,589,R2,2
14,Control,M,R2_2,610,R2,2
15,Control,F,R2_2,582,R2,2
16,ChR2,M,R2_2,1049,R2,2
17,ChR2,F,R2_2,920,R2,2
18,ChR2,F,R2_2,803,R2,2
19,ChR2,F,R2_2,976,R2,2
20,ChR2,M,R2_2,270,R2,2
21,ChR2,M,R2_2,879,R2,2
22,Control,F,R2_2,238,R2,2
1,Control,F,R2_3,541,R2,3
2,Control,F,R2_3,933,R2,3
